cntry,polintr,trstplt,vote,clsprty,gndr,yrbrn,eduyrs
IT,2,0,1,2,1,1960,10
IT,3,0,1,2,1,1959,13
IT,3,2,2,1,1,1988,13
IT,3,6,2,1,2,1954,8
IT,2,5,1,8,2,1960,8
IT,4,0,1,2,2,1957,13
IT,3,0,2,2,1,1974,13
IT,2,7,1,1,2,1968,18
IT,3,5,1,2,2,1972,20
IT,3,2,1,1,1,1962,8
IT,4,1,2,2,2,1945,8
IT,2,4,1,1,1,1967,13
IT,2,0,1,2,1,1975,13
IT,3,4,2,2,2,1964,11
IT,3,5,3,2,2,2003,14
IT,3,1,1,1,2,1985,13
IT,1,3,1,2,1,1970,13
IT,4,1,3,2,2,2003,15
IT,4,0,1,2,2,1969,10
IT,3,3,1,2,1,1992,20
IT,4,1,1,2,2,1973,11
IT,3,6,2,2,2,1934,5
IT,3,5,1,2,1,1980,19
IT,2,5,1,1,1,1951,8
IT,4,4,3,2,1,1972,14
IT,4,2,2,2,1,1934,8
IT,4,1,2,2,2,1942,8
IT,2,6,1,1,2,1959,20
IT,4,1,1,2,1,7777,13
IT,4,1,1,2,2,1988,18
IT,1,6,1,1,1,1946,13
IT,3,4,1,1,2,1970,10
IT,3,4,1,2,2,1984,13
IT,1,0,1,2,2,1971,13
IT,3,1,1,2,1,1970,11
IT,3,3,1,1,2,1970,13
IT,3,2,1,1,1,1968,13
IT,3,6,1,1,1,1959,13
IT,1,0,1,1,2,1957,8
IT,4,0,2,2,1,1972,8
IT,3,3,1,2,2,1936,10
IT,2,4,1,1,1,1961,8
IT,3,4,3,2,1,1960,5
IT,3,0,1,2,2,1974,8
IT,4,4,3,2,2,1961,10
IT,4,0,2,2,2,1974,8
IT,4,0,1,2,1,1997,17
IT,3,4,1,1,2,1936,8
IT,3,1,1,2,2,1986,21
IT,4,6,3,2,1,2002,11
IT,3,0,1,2,1,1980,16
IT,3,6,2,1,2,1959,13
IT,3,7,1,2,2,1958,77
IT,2,10,1,1,2,1947,13
IT,3,0,2,2,2,1958,13
IT,2,6,1,1,1,1973,14
IT,4,3,2,2,2,1990,10
IT,3,5,2,2,1,1987,13
IT,4,0,1,2,2,1973,12
IT,4,5,2,2,2,1945,8
IT,4,0,1,8,2,1955,13
IT,4,0,2,2,2,1955,14
IT,3,0,1,2,2,1990,13
IT,3,6,1,2,1,7777,17
IT,4,0,2,2,1,1964,9
IT,3,6,1,2,1,1964,8
IT,3,0,2,2,2,1980,13
IT,4,1,3,2,1,2005,11
IT,4,6,3,2,1,2001,13
IT,4,0,2,2,1,1971,13
IT,3,0,1,2,2,1969,8
IT,4,2,1,2,2,1971,14
IT,3,5,1,2,2,1964,13
IT,3,4,1,2,2,1989,16
IT,4,6,1,1,1,1956,13
IT,3,4,2,2,1,1972,12
IT,3,3,1,2,1,1977,16
IT,4,0,2,2,1,1971,13
IT,3,6,1,2,1,2002,12
IT,3,7,2,2,2,1996,18
IT,4,3,2,8,2,2000,15
IT,1,0,1,1,1,1952,15
IT,4,0,1,2,2,1948,8
IT,2,8,1,1,1,1945,13
IT,4,2,3,2,2,1997,17
IT,3,2,1,2,1,1981,13
IT,1,2,1,2,1,1970,20
IT,3,6,2,2,1,2000,13
IT,4,6,3,2,2,1981,12
IT,4,0,2,2,2,1964,11
IT,3,2,1,2,2,1976,16
IT,4,0,1,1,1,1966,19
IT,2,2,1,1,1,1986,19
IT,2,6,3,1,1,2004,11
IT,2,2,1,2,2,1980,13
IT,4,1,2,2,2,1941,5
IT,2,5,1,2,2,1972,18
IT,3,3,1,1,1,1961,13
IT,3,0,1,2,2,1946,5
IT,3,6,1,1,1,1978,88
IT,4,3,2,2,2,1962,5
IT,3,2,1,1,1,1971,8
IT,4,5,1,2,2,1981,15
IT,2,4,1,8,1,1938,6
IT,4,5,2,2,1,1991,10
IT,4,2,2,2,1,1983,10
IT,4,4,1,2,1,1991,20
IT,4,2,1,1,2,1964,11
IT,3,0,1,2,1,1980,8
IT,3,1,3,2,2,1975,19
IT,2,5,1,1,2,1990,13
IT,1,4,1,2,1,1980,17
IT,2,1,1,2,1,1989,13
IT,4,0,1,2,1,1990,8
IT,3,5,1,1,2,1996,13
IT,3,4,1,1,2,1948,13
IT,2,4,2,8,2,1953,17
IT,3,5,2,2,1,1974,19
IT,3,10,1,2,1,1961,13
IT,3,2,1,2,2,1978,18
IT,3,2,1,2,1,1972,8
IT,4,4,1,2,2,1991,16
IT,3,4,1,7,2,1938,13
IT,4,1,1,2,1,1969,11
IT,2,3,1,2,2,1992,20
IT,3,3,1,2,1,1957,13
IT,4,0,1,2,2,1950,8
IT,4,0,2,2,2,1952,8
IT,4,5,3,2,2,1967,12
IT,3,4,1,2,1,1972,14
IT,4,2,1,2,2,1994,10
IT,2,3,1,1,1,1960,10
IT,2,2,1,2,1,1977,13
IT,2,2,1,2,1,1968,8
IT,2,3,1,2,1,2001,13
IT,2,7,1,1,1,1987,13
IT,2,6,1,2,1,1949,18
IT,4,0,2,2,1,1974,9
IT,3,0,1,2,1,1956,88
IT,4,5,1,2,2,1978,13
IT,3,6,1,2,2,1956,13
IT,1,6,1,1,1,1986,18
IT,2,2,1,1,1,1979,13
IT,2,5,3,2,2,1947,8
IT,2,4,1,1,1,1947,14
IT,2,0,1,2,1,1959,11
IT,2,3,2,2,2,1944,8
IT,4,5,1,2,2,1961,13
IT,2,8,1,8,2,1957,88
IT,4,0,2,2,2,1949,11
IT,3,2,1,2,2,1958,13
IT,2,4,1,1,1,1955,8
IT,3,5,1,2,2,1970,18
IT,3,3,8,2,2,1969,13
IT,3,1,1,1,2,1969,13
IT,2,0,1,2,2,1991,16
IT,2,0,3,2,1,2001,13
IT,3,0,2,2,1,1990,14
IT,4,2,2,2,2,7777,12
IT,3,1,1,2,1,1962,8
IT,2,4,1,1,2,1975,18
IT,3,1,1,2,1,1975,18
IT,3,3,1,2,2,1973,13
IT,4,6,1,2,2,2001,15
IT,3,4,1,2,2,2000,88
IT,3,3,1,2,1,1963,17
IT,2,7,1,2,1,1960,13
IT,3,5,1,2,1,1975,13
IT,3,7,1,2,2,1948,8
IT,4,6,3,2,2,2003,12
IT,4,1,1,2,2,1987,13
IT,3,0,2,2,2,1970,13
IT,1,2,1,1,2,1959,23
IT,4,8,3,8,1,1998,10
IT,3,2,2,2,1,1995,13
IT,2,3,1,1,2,1970,13
IT,2,3,1,2,1,1941,12
IT,2,0,2,2,1,1961,13
IT,3,4,1,2,1,1947,5
IT,2,5,1,2,2,1946,13
IT,2,4,1,1,2,1974,18
IT,3,0,1,2,2,1983,13
IT,4,4,1,2,2,1985,13
IT,2,2,1,2,2,1992,17
IT,3,5,1,8,2,1978,13
IT,3,0,2,2,2,1992,13
IT,3,2,1,2,1,1970,8
IT,4,0,8,2,1,1948,77
IT,4,2,1,2,2,1943,5
IT,4,1,1,2,1,1963,8
IT,3,4,1,1,2,1961,18
IT,4,2,3,2,1,2000,13
IT,2,7,1,2,1,1951,88
IT,2,3,1,1,1,1956,8
IT,1,5,1,1,1,1945,8
IT,4,2,2,2,2,1946,13
IT,4,0,1,2,2,1952,5
IT,4,7,2,2,2,1977,13
IT,3,2,2,2,1,1955,8
IT,3,2,1,2,1,1951,8
IT,4,3,1,8,1,1968,8
IT,4,0,1,2,2,1950,13
IT,4,2,2,1,2,1957,12
IT,2,4,1,2,1,1995,18
IT,1,7,1,1,1,1960,23
IT,3,5,2,2,1,1998,13
IT,4,4,1,2,2,1939,4
IT,2,0,1,1,2,1943,18
IT,2,7,2,1,1,1984,9
IT,4,0,2,2,2,1957,15
IT,3,6,3,2,2,1961,0
IT,3,88,1,2,2,1984,17
IT,3,3,1,2,1,1950,8
IT,2,4,1,1,1,1981,18
IT,4,0,2,2,2,1987,13
IT,3,5,2,2,1,1986,20
IT,3,0,1,2,2,1977,13
IT,3,4,7,2,2,1961,13
IT,3,0,1,2,1,1957,8
IT,3,3,1,2,1,1986,8
IT,3,2,1,2,1,1985,15
IT,3,3,1,2,2,1969,8
IT,2,3,1,2,2,1970,13
IT,4,0,1,1,1,1961,8
IT,4,3,2,2,1,2001,13
IT,3,3,1,2,1,1976,13
IT,3,8,1,2,1,1968,77
IT,2,5,1,2,1,1960,13
IT,3,6,2,2,2,1945,13
IT,3,3,1,2,2,1967,19
IT,2,3,1,2,2,1970,20
IT,3,5,1,2,2,1998,16
IT,4,0,1,2,2,1961,13
IT,1,6,1,1,1,1979,16
IT,2,8,1,8,2,1969,18
IT,3,0,1,1,2,1966,13
IT,4,3,1,1,1,1966,8
IT,2,2,1,1,2,1954,17
IT,2,4,3,2,1,2004,12
IT,4,0,1,2,1,1984,14
IT,4,7,2,2,2,1994,13
IT,4,6,3,2,1,1957,12
IT,3,3,1,1,2,1954,13
IT,2,3,1,1,1,1965,8
IT,3,0,1,8,2,1967,13
IT,2,2,1,2,1,1995,20
IT,3,5,1,2,1,1976,12
IT,3,5,1,2,1,1978,77
IT,3,4,3,2,2,2004,12
IT,3,9,1,1,1,1967,16
IT,1,1,1,1,1,1964,13
IT,2,4,1,1,1,1949,13
IT,4,3,8,2,2,1988,13
IT,2,6,1,1,1,1982,13
IT,4,1,1,2,1,1987,13
IT,2,6,1,1,1,1958,10
IT,4,0,1,2,2,1980,14
IT,2,1,3,2,2,2004,12
IT,3,3,2,2,1,1932,5
IT,4,5,1,2,1,1937,5
IT,4,2,1,1,2,1992,13
IT,3,0,2,2,2,1984,8
IT,2,2,3,2,1,1983,18
IT,4,2,8,8,2,1978,13
IT,3,5,1,1,1,1954,8
IT,1,4,1,1,1,1947,13
IT,3,3,1,1,1,1949,8
IT,4,1,1,2,2,1971,8
IT,2,6,1,1,1,1950,15
IT,3,3,1,2,1,1946,13
IT,4,3,2,2,2,1955,12
IT,3,5,1,1,2,1953,12
IT,2,7,1,1,1,1973,13
IT,3,4,1,2,2,1974,19
IT,4,9,3,2,1,1993,12
IT,3,4,2,2,2,1951,12
IT,2,4,1,1,1,1964,13
